"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///CWE-022-codeql_1.py:1:26:1:32""]].","/CWE-022-codeql_1.py","15","23","15","30"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///CWE-116-author_1.py:2:29:2:35""]].","/CWE-116-author_1.py","12","14","12","32"
"Arbitrary file write during tarfile extraction","Extracting files from a malicious tar archive without validating that the destination file path is within the destination directory can cause files outside the destination directory to be overwritten.","error","This file extraction depends on a [[""potentially untrusted source""|""relative:///CWE-022-codeql_2.py:9:10:9:37""]].","/CWE-022-codeql_2.py","10","9","10","11"
"Jinja2 templating with autoescape=False","Using jinja2 templates with 'autoescape=False' can cause a cross-site scripting vulnerability.","error","Using jinja2 templates with autoescape=False can potentially allow XSS attacks.","/CWE-079-codeql_1.py","12","11","12","59"
"Reflected server-side cross-site scripting","Writing user input directly to a web page allows for a cross-site scripting vulnerability.","error","Cross-site scripting vulnerability due to a [[""user-provided value""|""relative:///CWE-079-codeql_2.py:1:26:1:32""]].","/CWE-079-codeql_2.py","16","30","16","46"
"Reflected server-side cross-site scripting","Writing user input directly to a web page allows for a cross-site scripting vulnerability.","error","Cross-site scripting vulnerability due to a [[""user-provided value""|""relative:///CWE-117-codeql_1.py:2:19:2:25""]].","/CWE-117-codeql_1.py","16","12","16","36"
"Reflected server-side cross-site scripting","Writing user input directly to a web page allows for a cross-site scripting vulnerability.","error","Cross-site scripting vulnerability due to a [[""user-provided value""|""relative:///CWE-918-codeql_2.py:2:26:2:32""]].","/CWE-918-codeql_2.py","17","16","17","30"
"Code injection","Interpreting unsanitized user input as code allows a malicious user to perform arbitrary code execution.","error","This code execution depends on a [[""user-provided value""|""relative:///CWE-094-author_1.py:1:26:1:32""]].","/CWE-094-author_1.py","13","14","13","17"
"Bad HTML filtering regexp","Matching HTML tags using regular expressions is hard to do right, and can easily lead to security issues.","warning","This regular expression does not match upper case <SCRIPT> tags.","/CWE-116-codeql_1.py","9","33","9","55"
"Log Injection","Building log entries from user-controlled data is vulnerable to insertion of forged log entries by a malicious user.","error","This log entry depends on a [[""user-provided value""|""relative:///CWE-117-codeql_1.py:2:19:2:25""]].","/CWE-117-codeql_1.py","15","18","15","21"
"Information exposure through an exception","Leaking information about an exception, such as messages and stack traces, to an external user can expose implementation details that are useful to an attacker for developing a subsequent exploit.","error","[[""Stack trace information""|""relative:///CWE-094-author_1.py:15:25:15:25""]] flows to this location and may be exposed to an external user.","/CWE-094-author_1.py","16","16","16","21"
"Flask app is run in debug mode","Running a Flask app in debug mode may allow an attacker to run arbitrary code through the Werkzeug debugger.","error","A Flask app appears to be run in debug mode. This may allow an attacker to run arbitrary code through the debugger.","/CWE-215-codeql_1.py","10","5","10","23"
"Use of insecure SSL/TLS version","Using an insecure SSL/TLS version may leave the connection vulnerable to attacks.","warning","Insecure SSL/TLS protocol version TLSv1 allowed by [[""call to ssl.create_default_context""|""relative:///CWE-327-codeql_2.py:6:15:6:65""]].
Insecure SSL/TLS protocol version TLSv1_1 allowed by [[""call to ssl.create_default_context""|""relative:///CWE-327-codeql_2.py:6:15:6:65""]].","/CWE-327-codeql_2.py","7","21","7","27"
"Insecure temporary file","Creating a temporary file using this method may be insecure.","error","Call to deprecated function tempfile.mktemp may be insecure.","/CWE-377-codeql_1.py","7","17","7","24"
"URL redirection from remote source","URL redirection based on unvalidated user input may cause redirection to malicious web sites.","error","Untrusted URL redirection depends on a [[""user-provided value""|""relative:///CWE-020-codeql_3.py:1:36:1:42""]].","/CWE-020-codeql_3.py","16","25","16","34"
"URL redirection from remote source","URL redirection based on unvalidated user input may cause redirection to malicious web sites.","error","Untrusted URL redirection depends on a [[""user-provided value""|""relative:///CWE-020-codeql_4.py:1:36:1:42""]].","/CWE-020-codeql_4.py","13","25","13","34"
