"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///CWE-022-author_1.py:2:26:2:32""]].","/CWE-022-author_1.py","22","27","22","35"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///CWE-022-author_1.py:2:26:2:32""]].","/CWE-022-author_1.py","23","23","23","31"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///CWE-116-author_1.py:2:29:2:35""]].","/CWE-116-author_1.py","22","32","22","42"
"Arbitrary file write during tarfile extraction","Extracting files from a malicious tar archive without validating that the destination file path is within the destination directory can cause files outside the destination directory to be overwritten.","error","This file extraction depends on a [[""potentially untrusted source""|""relative:///CWE-022-codeql_2.py:18:10:18:37""]].","/CWE-022-codeql_2.py","25","29","25","33"
"Reflected server-side cross-site scripting","Writing user input directly to a web page allows for a cross-site scripting vulnerability.","error","Cross-site scripting vulnerability due to a [[""user-provided value""|""relative:///CWE-020-codeql_2.py:4:26:4:32""]].","/CWE-020-codeql_2.py","22","12","22","28"
"Information exposure through an exception","Leaking information about an exception, such as messages and stack traces, to an external user can expose implementation details that are useful to an attacker for developing a subsequent exploit.","error","[[""Stack trace information""|""relative:///CWE-116-author_1.py:24:27:24:27""]] flows to this location and may be exposed to an external user.","/CWE-116-author_1.py","25","29","25","65"
"Information exposure through an exception","Leaking information about an exception, such as messages and stack traces, to an external user can expose implementation details that are useful to an attacker for developing a subsequent exploit.","error","[[""Stack trace information""|""relative:///CWE-611-author_1.py:32:29:32:29""]] flows to this location and may be exposed to an external user.","/CWE-611-author_1.py","33","20","33","48"
"Use of a broken or weak cryptographic hashing algorithm on sensitive data","Using broken or weak cryptographic hashing algorithms can compromise security.","warning","[[""Sensitive data (password)""|""relative:///CWE-327-codeql_4.py:3:23:3:30""]] is used in a hashing algorithm (SHA3512) that is insecure for password hashing, since it is not a computationally expensive hash function.
[[""Sensitive data (password)""|""relative:///CWE-327-codeql_4.py:8:21:8:35""]] is used in a hashing algorithm (SHA3512) that is insecure for password hashing, since it is not a computationally expensive hash function.","/CWE-327-codeql_4.py","11","36","11","57"
"URL redirection from remote source","URL redirection based on unvalidated user input may cause redirection to malicious web sites.","error","Untrusted URL redirection depends on a [[""user-provided value""|""relative:///CWE-020-codeql_3.py:1:36:1:42""]].","/CWE-020-codeql_3.py","22","25","22","34"
"URL redirection from remote source","URL redirection based on unvalidated user input may cause redirection to malicious web sites.","error","Untrusted URL redirection depends on a [[""user-provided value""|""relative:///CWE-020-codeql_4.py:1:36:1:42""]].","/CWE-020-codeql_4.py","15","25","15","34"
"URL redirection from remote source","URL redirection based on unvalidated user input may cause redirection to malicious web sites.","error","Untrusted URL redirection depends on a [[""user-provided value""|""relative:///CWE-601-codeql_1.py:1:26:1:32""]].","/CWE-601-codeql_1.py","22","25","22","32"
"URL redirection from remote source","URL redirection based on unvalidated user input may cause redirection to malicious web sites.","error","Untrusted URL redirection depends on a [[""user-provided value""|""relative:///CWE-601-sonar_2.py:1:19:1:25""]].","/CWE-601-sonar_2.py","18","25","18","27"
"Partial server-side request forgery","Making a network request to a URL that is partially user-controlled allows for request forgery attacks.","error","Part of the URL of this request depends on a [[""user-provided value""|""relative:///CWE-918-codeql_1.py:2:26:2:32""]].","/CWE-918-codeql_1.py","21","24","21","51"
