filename,test_name,test_id,issue_severity,issue_confidence,issue_cwe,issue_text,line_number,col_offset,end_col_offset,line_range,more_info
./codeSpace/fixed1\CWE-020-codeql_2.py,flask_debug_true,B201,HIGH,MEDIUM,https://cwe.mitre.org/data/definitions/94.html,"A Flask app appears to be run with debug=True, which exposes the Werkzeug debugger and allows the execution of arbitrary code.",32,4,23,[32],https://bandit.readthedocs.io/en/1.7.8/plugins/b201_flask_debug_true.html
./codeSpace/fixed1\CWE-022-author_1.py,flask_debug_true,B201,HIGH,MEDIUM,https://cwe.mitre.org/data/definitions/94.html,"A Flask app appears to be run with debug=True, which exposes the Werkzeug debugger and allows the execution of arbitrary code.",42,4,23,[42],https://bandit.readthedocs.io/en/1.7.8/plugins/b201_flask_debug_true.html
./codeSpace/fixed1\CWE-022-codeql_1.py,flask_debug_true,B201,HIGH,MEDIUM,https://cwe.mitre.org/data/definitions/94.html,"A Flask app appears to be run with debug=True, which exposes the Werkzeug debugger and allows the execution of arbitrary code.",42,4,23,[42],https://bandit.readthedocs.io/en/1.7.8/plugins/b201_flask_debug_true.html
./codeSpace/fixed1\CWE-022-codeql_2.py,hardcoded_tmp_directory,B108,MEDIUM,MEDIUM,https://cwe.mitre.org/data/definitions/377.html,Probable insecure usage of temp file/directory.,17,18,25,[17],https://bandit.readthedocs.io/en/1.7.8/plugins/b108_hardcoded_tmp_directory.html
./codeSpace/fixed1\CWE-078-author_1.py,blacklist,B404,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Consider possible security implications associated with the subprocess module.,1,0,17,[1],https://bandit.readthedocs.io/en/1.7.8/blacklists/blacklist_imports.html#b404-import-subprocess
./codeSpace/fixed1\CWE-078-author_1.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,subprocess call - check for execution of untrusted input.,16,21,85,[16],https://bandit.readthedocs.io/en/1.7.8/plugins/b603_subprocess_without_shell_equals_true.html
./codeSpace/fixed1\CWE-078-codeql_1.py,blacklist,B404,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Consider possible security implications associated with the subprocess module.,1,0,17,[1],https://bandit.readthedocs.io/en/1.7.8/blacklists/blacklist_imports.html#b404-import-subprocess
./codeSpace/fixed1\CWE-078-codeql_1.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,subprocess call - check for execution of untrusted input.,23,17,92,[23],https://bandit.readthedocs.io/en/1.7.8/plugins/b603_subprocess_without_shell_equals_true.html
./codeSpace/fixed1\CWE-079-codeql_1.py,flask_debug_true,B201,HIGH,MEDIUM,https://cwe.mitre.org/data/definitions/94.html,"A Flask app appears to be run with debug=True, which exposes the Werkzeug debugger and allows the execution of arbitrary code.",24,4,23,[24],https://bandit.readthedocs.io/en/1.7.8/plugins/b201_flask_debug_true.html
./codeSpace/fixed1\CWE-090-codeql_2.py,flask_debug_true,B201,HIGH,MEDIUM,https://cwe.mitre.org/data/definitions/94.html,"A Flask app appears to be run with debug=True, which exposes the Werkzeug debugger and allows the execution of arbitrary code.",33,4,23,[33],https://bandit.readthedocs.io/en/1.7.8/plugins/b201_flask_debug_true.html
./codeSpace/fixed1\CWE-116-author_1.py,flask_debug_true,B201,HIGH,MEDIUM,https://cwe.mitre.org/data/definitions/94.html,"A Flask app appears to be run with debug=True, which exposes the Werkzeug debugger and allows the execution of arbitrary code.",39,4,23,[39],https://bandit.readthedocs.io/en/1.7.8/plugins/b201_flask_debug_true.html
./codeSpace/fixed1\CWE-611-author_1.py,flask_debug_true,B201,HIGH,MEDIUM,https://cwe.mitre.org/data/definitions/94.html,"A Flask app appears to be run with debug=True, which exposes the Werkzeug debugger and allows the execution of arbitrary code.",31,4,23,[31],https://bandit.readthedocs.io/en/1.7.8/plugins/b201_flask_debug_true.html
./codeSpace/fixed1\CWE-643-sonar_1.py,flask_debug_true,B201,HIGH,MEDIUM,https://cwe.mitre.org/data/definitions/94.html,"A Flask app appears to be run with debug=True, which exposes the Werkzeug debugger and allows the execution of arbitrary code.",25,4,23,[25],https://bandit.readthedocs.io/en/1.7.8/plugins/b201_flask_debug_true.html
./codeSpace/fixed1\CWE-730-codeql_1.py,flask_debug_true,B201,HIGH,MEDIUM,https://cwe.mitre.org/data/definitions/94.html,"A Flask app appears to be run with debug=True, which exposes the Werkzeug debugger and allows the execution of arbitrary code.",25,4,23,[25],https://bandit.readthedocs.io/en/1.7.8/plugins/b201_flask_debug_true.html
./codeSpace/fixed1\CWE-730-codeql_2.py,flask_debug_true,B201,HIGH,MEDIUM,https://cwe.mitre.org/data/definitions/94.html,"A Flask app appears to be run with debug=True, which exposes the Werkzeug debugger and allows the execution of arbitrary code.",30,4,23,[30],https://bandit.readthedocs.io/en/1.7.8/plugins/b201_flask_debug_true.html
./codeSpace/fixed1\CWE-918-codeql_2.py,flask_debug_true,B201,HIGH,MEDIUM,https://cwe.mitre.org/data/definitions/94.html,"A Flask app appears to be run with debug=True, which exposes the Werkzeug debugger and allows the execution of arbitrary code.",49,0,19,[49],https://bandit.readthedocs.io/en/1.7.8/plugins/b201_flask_debug_true.html
