"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///CWE-022-author_1.py:2:26:2:32""]].","/CWE-022-author_1.py","19","23","19","32"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///CWE-022-author_1.py:2:26:2:32""]].","/CWE-022-author_1.py","20","19","20","28"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///CWE-022-codeql_1.py:1:26:1:32""]].","/CWE-022-codeql_1.py","13","19","13","26"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///CWE-116-author_1.py:2:29:2:35""]].","/CWE-116-author_1.py","13","14","13","32"
"Arbitrary file write during tarfile extraction","Extracting files from a malicious tar archive without validating that the destination file path is within the destination directory can cause files outside the destination directory to be overwritten.","error","This file extraction depends on a [[""potentially untrusted source""|""relative:///CWE-022-codeql_2.py:11:11:11:38""]].","/CWE-022-codeql_2.py","16","21","16","25"
"Uncontrolled command line","Using externally controlled strings in a command line may allow a malicious user to change the meaning of the command.","error","This command line depends on a [[""user-provided value""|""relative:///CWE-078-codeql_1.py:2:26:2:32""]].","/CWE-078-codeql_1.py","16","28","16","34"
"Jinja2 templating with autoescape=False","Using jinja2 templates with 'autoescape=False' can cause a cross-site scripting vulnerability.","error","Using jinja2 templates with autoescape=False can potentially allow XSS attacks.","/CWE-079-codeql_1.py","12","11","12","59"
"Reflected server-side cross-site scripting","Writing user input directly to a web page allows for a cross-site scripting vulnerability.","error","Cross-site scripting vulnerability due to a [[""user-provided value""|""relative:///CWE-020-codeql_2.py:4:26:4:32""]].","/CWE-020-codeql_2.py","12","12","12","28"
"Reflected server-side cross-site scripting","Writing user input directly to a web page allows for a cross-site scripting vulnerability.","error","Cross-site scripting vulnerability due to a [[""user-provided value""|""relative:///CWE-502-sonar_1.py:1:26:1:32""]].","/CWE-502-sonar_1.py","17","20","17","30"
"Reflected server-side cross-site scripting","Writing user input directly to a web page allows for a cross-site scripting vulnerability.","error","Cross-site scripting vulnerability due to a [[""user-provided value""|""relative:///CWE-918-codeql_1.py:2:26:2:32""]].","/CWE-918-codeql_1.py","21","12","21","24"
"Reflected server-side cross-site scripting","Writing user input directly to a web page allows for a cross-site scripting vulnerability.","error","Cross-site scripting vulnerability due to a [[""user-provided value""|""relative:///CWE-918-codeql_2.py:2:26:2:32""]].","/CWE-918-codeql_2.py","19","16","19","30"
"LDAP query built from user-controlled sources","Building an LDAP query from user-controlled sources is vulnerable to insertion of malicious LDAP code by the user.","error","LDAP query parameter (DN) depends on a [[""user-provided value""|""relative:///CWE-090-codeql_1.py:1:19:1:25""]].","/CWE-090-codeql_1.py","27","39","27","45"
"LDAP query built from user-controlled sources","Building an LDAP query from user-controlled sources is vulnerable to insertion of malicious LDAP code by the user.","error","LDAP query parameter (filter) depends on a [[""user-provided value""|""relative:///CWE-090-codeql_1.py:1:19:1:25""]].","/CWE-090-codeql_1.py","27","68","27","80"
"LDAP query built from user-controlled sources","Building an LDAP query from user-controlled sources is vulnerable to insertion of malicious LDAP code by the user.","error","LDAP query parameter (filter) depends on a [[""user-provided value""|""relative:///CWE-090-codeql_2.py:1:19:1:25""]].","/CWE-090-codeql_2.py","23","39","23","43"
"Code injection","Interpreting unsanitized user input as code allows a malicious user to perform arbitrary code execution.","error","This code execution depends on a [[""user-provided value""|""relative:///CWE-094-author_1.py:1:26:1:32""]].","/CWE-094-author_1.py","13","14","13","17"
"Code injection","Interpreting unsanitized user input as code allows a malicious user to perform arbitrary code execution.","error","This code execution depends on a [[""user-provided value""|""relative:///CWE-094-sonar_1.py:1:26:1:32""]].","/CWE-094-sonar_1.py","16","18","16","42"
"Bad HTML filtering regexp","Matching HTML tags using regular expressions is hard to do right, and can easily lead to security issues.","warning","This regular expression does not match upper case <SCRIPT> tags.","/CWE-116-codeql_1.py","8","23","8","45"
"Information exposure through an exception","Leaking information about an exception, such as messages and stack traces, to an external user can expose implementation details that are useful to an attacker for developing a subsequent exploit.","error","[[""Stack trace information""|""relative:///CWE-078-codeql_1.py:18:25:18:25""]] flows to this location and may be exposed to an external user.","/CWE-078-codeql_1.py","19","16","19","26"
"Information exposure through an exception","Leaking information about an exception, such as messages and stack traces, to an external user can expose implementation details that are useful to an attacker for developing a subsequent exploit.","error","[[""Stack trace information""|""relative:///CWE-094-author_1.py:15:25:15:25""]] flows to this location and may be exposed to an external user.","/CWE-094-author_1.py","16","16","16","21"
"Information exposure through an exception","Leaking information about an exception, such as messages and stack traces, to an external user can expose implementation details that are useful to an attacker for developing a subsequent exploit.","error","[[""Stack trace information""|""relative:///CWE-502-sonar_1.py:19:34:19:34""]] flows to this location and may be exposed to an external user.","/CWE-502-sonar_1.py","21","20","21","44"
"Flask app is run in debug mode","Running a Flask app in debug mode may allow an attacker to run arbitrary code through the Werkzeug debugger.","error","A Flask app appears to be run in debug mode. This may allow an attacker to run arbitrary code through the debugger.","/CWE-020-codeql_3.py","24","5","24","23"
"Deserialization of user-controlled data","Deserializing user-controlled data may allow attackers to execute arbitrary code.","error","Unsafe deserialization depends on a [[""user-provided value""|""relative:///CWE-020-codeql_2.py:4:26:4:32""]].","/CWE-020-codeql_2.py","11","38","11","49"
"URL redirection from remote source","URL redirection based on unvalidated user input may cause redirection to malicious web sites.","error","Untrusted URL redirection depends on a [[""user-provided value""|""relative:///CWE-020-codeql_3.py:1:36:1:42""]].","/CWE-020-codeql_3.py","17","29","17","34"
"XPath query built from user-controlled sources","Building a XPath query from user-controlled sources is vulnerable to insertion of malicious Xpath code by the user.","error","XPath expression depends on a [[""user-provided value""|""relative:///CWE-643-sonar_1.py:1:19:1:25""]].","/CWE-643-sonar_1.py","11","30","11","64"
"Regular expression injection","User input should not be used in regular expressions without first being escaped, otherwise a malicious user may be able to inject an expression that could require exponential time on certain inputs.","error","This regular expression depends on a [[""user-provided value""|""relative:///CWE-730-codeql_1.py:1:19:1:25""]] and is executed by [[""re.search""|""relative:///CWE-730-codeql_1.py:14:19:14:42""]].","/CWE-730-codeql_1.py","14","29","14","35"
"Regular expression injection","User input should not be used in regular expressions without first being escaped, otherwise a malicious user may be able to inject an expression that could require exponential time on certain inputs.","error","This regular expression depends on a [[""user-provided value""|""relative:///CWE-730-codeql_2.py:1:19:1:25""]] and is executed by [[""re.findall""|""relative:///CWE-730-codeql_2.py:19:15:19:33""]].","/CWE-730-codeql_2.py","16","24","16","30"
"Overly permissive file permissions","Allowing files to be readable or writable by users other than the owner may allow sensitive information to be accessed.","warning","Overly permissive mask in chmod sets file to world readable.","/CWE-732-author_1.py","14","5","14","31"
"Hard-coded credentials","Credentials are hard coded in the source code of the application.","error","This hardcoded value is [[""used as credentials""|""relative:///CWE-089-author_1.py:8:83:8:97""]].","/CWE-089-author_1.py","8","83","8","97"
"Hard-coded credentials","Credentials are hard coded in the source code of the application.","error","This hardcoded value is [[""used as credentials""|""relative:///CWE-089-codeql_1.py:7:83:7:97""]].","/CWE-089-codeql_1.py","7","83","7","97"
"Hard-coded credentials","Credentials are hard coded in the source code of the application.","error","This hardcoded value is [[""used as credentials""|""relative:///CWE-798-codeql_1.py:11:20:11:36""]].","/CWE-798-codeql_1.py","9","25","9","36"
"Full server-side request forgery","Making a network request to a URL that is fully user-controlled allows for request forgery attacks.","error","The full URL of this request depends on a [[""user-provided value""|""relative:///CWE-918-codeql_1.py:2:26:2:32""]].","/CWE-918-codeql_1.py","18","16","18","32"
"Partial server-side request forgery","Making a network request to a URL that is partially user-controlled allows for request forgery attacks.","error","Part of the URL of this request depends on a [[""user-provided value""|""relative:///CWE-918-codeql_2.py:2:26:2:32""]].","/CWE-918-codeql_2.py","17","16","17","32"
